#           X                Y                 Ex                Ey                Ez                E 
      0.0000000000     10.7942000000     -0.1746584853     -0.2058213060      0.0000000000      0.2699407277
      0.0000000000     10.9683000000     -0.1722094493     -0.2274762403      0.0000000000      0.2853095413
      0.0000000000     11.1424000000     -0.1696281035     -0.2504166149      0.0000000000      0.3024602031
      0.0000000000     11.3165000000     -0.1669265828     -0.2748305342      0.0000000000      0.3215529608
      0.0000000000     11.4906000000     -0.1641171209     -0.3009323484      0.0000000000      0.3427750103
      0.0000000000     11.6647000000     -0.1612119399     -0.3289675422      0.0000000000      0.3663453744
      0.0000000000     11.8388000000     -0.1582231474     -0.3592186868      0.0000000000      0.3925208648
      0.0000000000     12.0129000000     -0.1551626425     -0.3920127386      0.0000000000      0.4216034071
      0.0000000000     12.1870000000     -0.1520420314     -0.4277300559      0.0000000000      0.4539490941
      0.0000000000     12.3611000000     -0.1488725533     -0.4668156227      0.0000000000      0.4899794513
      0.0000000000     12.5352000000     -0.1456650166     -0.5097931245      0.0000000000      0.5301955553
      0.0000000000     12.7093000000     -0.1424297455     -0.5572827422      0.0000000000      0.5751958685
      0.0000000000     12.8834000000     -0.1391765367     -0.6100238327      0.0000000000      0.6256989570
      0.0000000000     13.0575000000     -0.1359146264     -0.6689040919      0.0000000000      0.6825726846
      0.0000000000     13.2316000000     -0.1326526660     -0.7349974090     -0.0000000000      0.7468720915
      0.0000000000     13.4057000000     -0.1293987066     -0.8096134980      0.0000000000      0.8198890421
      0.0000000000     13.5798000000     -0.1261601919     -0.8943636840      0.0000000000      0.9032180209
      0.0000000000     13.7539000000     -0.1229439570     -0.9912491402      0.0000000000      0.9988443695
      0.0000000000     13.9280000000     -0.1197562349     -1.1027807692      0.0000000000      1.1092641619
      0.0000000000     14.1021000000     -0.1166026678     -1.2321443879      0.0000000000      1.2376493748
      0.0000000000     14.2762000000     -0.1134883223     -1.3834318826     -0.0000000000      1.3880790226
      0.0000000000     14.4503000000     -0.1104177101     -1.5619702459      0.0000000000      1.5658681681
      0.0000000000     14.6244000000     -0.1073948104     -1.7747988875      0.0000000000      1.7780452009
      0.0000000000     14.7985000000     -0.1044230953     -2.0313767886      0.0000000000      2.0340589568
      0.0000000000     14.9726000000     -0.1015055569     -2.3446552661      0.0000000000      2.3468514429
      0.0000000000     15.1467000000     -0.0986447360     -2.7327494704      0.0000000000      2.7345292926
      0.0000000000     15.3208000000     -0.0958427508     -3.2216233483      0.0000000000      3.2230486858
      0.0000000000     15.4949000000     -0.0931013266     -3.8495563701      0.0000000000      3.8506820310
      0.0000000000     15.6690000000     -0.0904218249     -4.6748835280      0.0000000000      4.6757579179
      0.0000000000     15.8431000000     -0.0878052725     -5.7900671531     -0.0000000000      5.7907328900
      0.0000000000     16.0172000000     -0.0852523894     -7.3487944102      0.0000000000      7.3492888944
      0.0000000000     16.1913000000     -0.0827636164     -9.6219510950      0.0000000000      9.6223070358
      0.0000000000     16.3654000000     -0.0803391411    -13.1238508913     -0.0000000000     13.1240967916
      0.0000000000     16.5395000000     -0.0779789231    -18.9310709847      0.0000000000     18.9312315854
      0.0000000000     16.7136000000     -0.0756827178    -29.6209298601      0.0000000000     29.6210265462
      0.0000000000     16.8877000000     -0.0734500985    -52.7153154150      0.0000000000     52.7153665853
      0.0000000000     17.0618000000     -0.0712804775   -118.6976623005      0.0000000000    118.6976837032
      0.0000000000     17.2359000000     -0.0691731259   -474.9984338396      0.0000000000    474.9984388763
      0.0000000000     17.4100000000     -0.0671271914      0.0671271914     -0.0000000000      0.0949321844
      0.1741000000      0.0000000000    474.9984338396     -0.0691731259      0.0000000000    474.9984388763
      0.1741000000      0.1741000000    167.8912144139    167.8912144139      0.0000000000    237.4340324275
      0.1741000000      0.3482000000     42.4189374022     84.9113618599      0.0000000000     94.9173620748
      0.1741000000      0.5223000000     14.9484229554     44.9967027825      0.0000000000     47.4147509764
      0.1741000000      0.6964000000      6.7009332070     27.0377229737      0.0000000000     27.8557169975
      0.1741000000      0.8705000000      3.5043479118     17.8430477360      0.0000000000     18.1839161568
      0.1741000000      1.0446000000      2.0294285151     12.5901134744      0.0000000000     12.7526286465
